duration_seconds,duration_minutes,duration_hours,emp.var.rate,nr.employed,euribor3m,month,contact,loan,subscribed
261,4.35,0.0725,1.1,5191.0,4.857,may,1,0,False
149,2.4833333333333334,0.04138888888888889,1.1,5191.0,4.857,may,1,0,False
226,3.7666666666666666,0.06277777777777778,1.1,5191.0,4.857,may,1,0,False
151,2.5166666666666666,0.041944444444444444,1.1,5191.0,4.857,may,1,0,False
307,5.116666666666666,0.08527777777777777,1.1,5191.0,4.857,may,1,1,False
198,3.3,0.055,1.1,5191.0,4.857,may,1,0,False
139,2.316666666666667,0.03861111111111112,1.1,5191.0,4.857,may,1,0,False
217,3.6166666666666667,0.06027777777777778,1.1,5191.0,4.857,may,1,0,False
380,6.333333333333333,0.10555555555555556,1.1,5191.0,4.857,may,1,0,False
50,0.8333333333333334,0.01388888888888889,1.1,5191.0,4.857,may,1,0,False
55,0.9166666666666666,0.015277777777777777,1.1,5191.0,4.857,may,1,0,False
222,3.7,0.06166666666666667,1.1,5191.0,4.857,may,1,0,False
137,2.283333333333333,0.03805555555555555,1.1,5191.0,4.857,may,1,1,False
293,4.883333333333334,0.0813888888888889,1.1,5191.0,4.857,may,1,0,False
146,2.433333333333333,0.04055555555555555,1.1,5191.0,4.857,may,1,0,False
174,2.9,0.04833333333333333,1.1,5191.0,4.857,may,1,1,False
312,5.2,0.08666666666666667,1.1,5191.0,4.857,may,1,0,False
440,7.333333333333333,0.12222222222222222,1.1,5191.0,4.857,may,1,1,False
353,5.883333333333334,0.09805555555555556,1.1,5191.0,4.857,may,1,1,False
195,3.25,0.05416666666666667,1.1,5191.0,4.857,may,1,0,False
38,0.6333333333333333,0.010555555555555556,1.1,5191.0,4.857,may,1,0,False
262,4.366666666666666,0.07277777777777777,1.1,5191.0,4.857,may,1,0,False
342,5.7,0.095,1.1,5191.0,4.857,may,1,0,False
181,3.0166666666666666,0.050277777777777775,1.1,5191.0,4.857,may,1,0,False
172,2.8666666666666667,0.04777777777777778,1.1,5191.0,4.857,may,1,0,False
99,1.65,0.0275,1.1,5191.0,4.857,may,1,1,False
93,1.55,0.025833333333333333,1.1,5191.0,4.857,may,1,0,False
233,3.8833333333333333,0.06472222222222222,1.1,5191.0,4.857,may,1,0,False
255,4.25,0.07083333333333333,1.1,5191.0,4.857,may,1,0,False
362,6.033333333333333,0.10055555555555555,1.1,5191.0,4.857,may,1,1,False
348,5.8,0.09666666666666666,1.1,5191.0,4.857,may,1,0,False
386,6.433333333333334,0.10722222222222223,1.1,5191.0,4.857,may,1,0,False
73,1.2166666666666666,0.020277777777777777,1.1,5191.0,4.857,may,1,0,False
230,3.8333333333333335,0.0638888888888889,1.1,5191.0,4.857,may,1,0,False
208,3.466666666666667,0.05777777777777778,1.1,5191.0,4.857,may,1,0,False
